Movie Title,Release Year,Storyline,Movie Genre,Movie Duration,IMDb Movie Rating,Movie Certification,IMDb Users Votes
Jai Bhim,2021,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.","Crime, Drama, Mystery",2h 44m,8.9/10,A,198K
La haine,1995,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,"Crime, Drama",1h 38m,8.1/10,Not Rated,172K
Babam ve Oglum,2005,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,"Drama, Family",1h 52m,8.2/10,Not Rated,87K
Les quatre cents coups,1959,"A young boy, left without attention, delves into a life of petty crime.","Crime, Drama",1h 39m,8.1/10,U,117K
Persona,1966,A nurse is put in charge of a mute actress and finds that their personae are melding together.,"Drama, Thriller",1h 25m,8.1/10,Not Rated,118K
It Happened One Night,1934,,"Comedy, Romance",1h 45m,8.1/10,Passed,104K
The Sound of Music,1965,A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,"Biography, Drama, Family",2h 52m,8.1/10,U,232K
Life of Brian,1979,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",Comedy,1h 34m,8.0/10,R,398K
Ah-ga-ssi,2016,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","Drama, Romance, Thriller",2h 25m,8.1/10,A,144K
Dersu Uzala,1975,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.,"Adventure, Biography, Drama",2h 22m,8.2/10,U,30K
Aladdin,1992,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"Animation, Adventure, Comedy",1h 30m,8.0/10,U,414K
Gandhi,1982,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,"Biography, Drama",3h 11m,8.1/10,U,231K
The Help,2011,,Drama,2h 26m,8.1/10,UA,456K
The Iron Giant,1999,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,"Animation, Action, Adventure",1h 26m,8.1/10,U,194K
