Movie Title,Release Year,Storyline,Movie Genre,Movie Duration,IMDb Movie Rating,Movie Certification,IMDb Users Votes
Incendies,2010,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,"Drama, Mystery",2h 11m,8.3/10,18,176K
Metropolis,1927,,"Drama, Sci-Fi",2h 33m,8.3/10,Not Rated,174K
Jodaeiye Nader az Simin,2011,,Drama,2h 3m,8.3/10,7,244K
Hamilton,2020,,"Biography, Drama, History",2h 40m,8.3/10,12+,92K
Die Hard,1988,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,"Action, Thriller",2h 12m,8.2/10,A,868K
Snatch,2000,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","Comedy, Crime",1h 44m,8.3/10,UA,848K
Indiana Jones and the Last Crusade,1989,,"Action, Adventure",2h 7m,8.2/10,U,748K
Ladri di biciclette,1948,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",Drama,1h 29m,8.3/10,U,163K
1917,2019,,"Action, Drama, War",1h 59m,8.2/10,R,573K
Taare Zameen Par,2007,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Drama, Family",2h 45m,8.3/10,U,192K
Der Untergang,2004,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","Biography, Drama, History",2h 36m,8.2/10,R,354K
Per qualche dollaro in più,1965,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.,Western,2h 12m,8.2/10,U,255K
Batman Begins,2005,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.","Action, Crime, Drama",2h 20m,8.2/10,UA,1.5M
Dangal,2016,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"Action, Biography, Drama",2h 41m,8.3/10,U,189K
The Kid,1921,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.","Comedy, Drama, Family",1h 8m,8.3/10,Passed,126K
Some Like It Hot,1959,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","Comedy, Music, Romance",2h 1m,8.2/10,U,266K
All About Eve,1950,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,Drama,2h 18m,8.2/10,Passed,131K
The Father,2020,,"Drama, Mystery",1h 37m,8.2/10,UA,147K
Green Book,2018,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,"Biography, Comedy, Drama",2h 10m,8.2/10,UA,480K
The Wolf of Wall Street,2013,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Biography, Comedy, Crime",3h,8.2/10,A,1.4M
Judgment at Nuremberg,1961,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.","Drama, War",2h 59m,8.3/10,A,77K
Spider-Man: No Way Home,2021,,"Action, Adventure, Fantasy",2h 28m,8.3/10,UA,722K
Ran,1985,,"Action, Drama, War",2h 42m,8.2/10,U,125K
Casino,1995,,"Crime, Drama",2h 58m,8.2/10,A,515K
Unforgiven,1992,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""","Drama, Western",2h 10m,8.2/10,A,410K
Pan's Labyrinth,2006,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","Drama, Fantasy, War",1h 58m,8.2/10,UA,664K
There Will Be Blood,2007,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Drama,2h 38m,8.2/10,A,581K
The Truman Show,1998,An insurance salesman discovers his whole life is actually a reality TV show.,"Comedy, Drama",1h 43m,8.2/10,U,1.1M
The Sixth Sense,1999,"A frightened, withdrawn Philadelphia boy who communicates with spirits seeks the help of a disheartened child psychologist.","Drama, Mystery, Thriller",1h 47m,8.2/10,A,983K
A Beautiful Mind,2001,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.","Biography, Drama",2h 15m,8.2/10,UA,924K
Monty Python and the Holy Grail,1975,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","Adventure, Comedy, Fantasy",1h 31m,8.2/10,U,538K
Yôjinbô,1961,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,"Action, Drama, Thriller",1h 50m,8.2/10,U,123K
The Treasure of the Sierra Madre,1948,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,"Adventure, Drama, Western",2h 6m,8.2/10,Passed,125K
Shutter Island,2010,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","Mystery, Thriller",2h 18m,8.2/10,A,1.3M
Jurassic Park,1993,,"Action, Adventure, Sci-Fi",2h 7m,8.2/10,UA,977K
Rashômon,1950,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.","Crime, Drama, Mystery",1h 28m,8.2/10,U,168K
The Great Escape,1963,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,"Adventure, Drama, History",2h 52m,8.2/10,U,244K
Kill Bill: Vol. 1,2003,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Action, Crime, Drama",1h 51m,8.2/10,A,1.1M
No Country for Old Men,2007,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,"Crime, Drama, Thriller",2h 2m,8.2/10,18,959K
Finding Nemo,2003,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Animation, Adventure, Comedy",1h 40m,8.2/10,U,1M
The Elephant Man,1980,,"Biography, Drama",2h 4m,8.2/10,UA,240K
Chinatown,1974,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.","Drama, Mystery, Thriller",2h 10m,8.2/10,UA,325K
Raging Bull,1980,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","Biography, Drama, Sport",2h 9m,8.2/10,A,352K
The Thing,1982,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"Horror, Mystery, Sci-Fi",1h 49m,8.2/10,A,419K
Gone with the Wind,1939,The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.,"Drama, Romance, War",3h 58m,8.2/10,U,314K
V for Vendetta,2005,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.","Action, Drama, Sci-Fi",2h 12m,8.2/10,UA,1.1M
Inside Out,2015,,"Animation, Adventure, Comedy",1h 35m,8.2/10,U,703K
"Lock, Stock and Two Smoking Barrels",1998,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.","Action, Comedy, Crime",1h 47m,8.2/10,A,578K
Dial M for Murder,1954,A former tennis star arranges the murder of his adulterous wife.,"Crime, Thriller",1h 45m,8.2/10,A,175K
El secreto de sus ojos,2009,,"Drama, Mystery, Romance",2h 9m,8.2/10,R,209K
Hauru no ugoku shiro,2004,,"Animation, Adventure, Family",1h 59m,8.2/10,U,390K
The Bridge on the River Kwai,1957,,"Adventure, Drama, War",2h 41m,8.2/10,U,220K
"Three Billboards Outside Ebbing, Missouri",2017,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,"Comedy, Crime, Drama",1h 55m,8.1/10,A,500K
Trainspotting,1996,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Drama,1h 33m,8.1/10,A,682K
Warrior,2011,,"Action, Drama, Sport",2h 20m,8.2/10,UA,470K
Gran Torino,2008,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",Drama,1h 56m,8.1/10,UA,771K
Fargo,1996,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"Crime, Thriller",1h 38m,8.1/10,A,673K
Prisoners,2013,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.","Crime, Drama, Mystery",2h 33m,8.1/10,A,698K
Tonari no Totoro,1988,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.","Animation, Comedy, Family",1h 26m,8.1/10,U,335K
Million Dollar Baby,2004,A determined woman works with a hardened boxing trainer to become a professional.,"Drama, Sport",2h 12m,8.1/10,UA,683K
Catch Me If You Can,2002,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","Biography, Crime, Drama",2h 21m,8.1/10,A,964K
The Gold Rush,1925,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.","Adventure, Comedy, Drama",1h 35m,8.2/10,Passed,111K
Blade Runner,1982,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.","Action, Drama, Sci-Fi",1h 57m,8.1/10,UA,762K
On the Waterfront,1954,,"Crime, Drama, Thriller",1h 48m,8.1/10,A,155K
Bacheha-Ye aseman,1997,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.","Drama, Family, Sport",1h 29m,8.2/10,PG,75K
The Third Man,1949,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","Film-Noir, Mystery, Thriller",1h 44m,8.1/10,U,171K
Before Sunrise,1995,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","Drama, Romance",1h 41m,8.1/10,16,305K
Ben-Hur,1959,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.","Adventure, Drama",3h 32m,8.1/10,U,238K
12 Years a Slave,2013,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","Biography, Drama, History",2h 14m,8.1/10,A,695K
Smultronstället,1957,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.","Drama, Romance",1h 31m,8.1/10,U,107K
Harry Potter and the Deathly Hallows: Part 2,2011,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","Adventure, Fantasy, Mystery",2h 10m,8.1/10,UA,864K
Gone Girl,2014,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","Drama, Mystery, Thriller",2h 29m,8.1/10,A,970K
The General,1926,,"Action, Adventure, Comedy",1h 7m,8.2/10,Passed,91K
The Deer Hunter,1978,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,"Drama, War",3h 3m,8.1/10,A,338K
In the Name of the Father,1993,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,"Biography, Crime, Drama",2h 13m,8.1/10,UA,174K
The Grand Budapest Hotel,2014,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.","Adventure, Comedy, Crime",1h 39m,8.1/10,UA,797K
Barry Lyndon,1975,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,"Adventure, Drama, War",3h 5m,8.1/10,U,167K
Le salaire de la peur,1953,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","Adventure, Drama, Thriller",2h 11m,8.2/10,U,61K
Mr. Smith Goes to Washington,1939,,"Comedy, Drama",2h 9m,8.1/10,U,116K
Sherlock Jr.,1924,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.","Action, Comedy, Romance",45m,8.2/10,Passed,50K
Hacksaw Ridge,2016,,"Biography, Drama, History",2h 19m,8.1/10,A,516K
